,0,1,2,3,4,5,6,7,8,9
76561197960267900,Aliens vs. Predator,Resident Evil 2,Tomb Raider,Amnesia: The Dark Descent,BioShock Infinite,A Plague Tale: Innocence,DOOM Eternal,Halo: The Master Chief Collection,Portal 2,Batman: Arkham Knight
76561197960268700,DOOM Eternal,Resident Evil 2,STAR WARS Jedi: Fallen Order,CODE VEIN,FINAL FANTASY XV WINDOWS EDITION,Risk of Rain 2,Destiny 2,DRAGON BALL FighterZ,MORDHAU,Remnant: From the Ashes
76561197960269100,Total War: WARHAMMER II,Assassin's Creed III Remastered,STAR WARS Jedi: Fallen Order,Total War: ROME II - Emperor Edition,Shadow of the Tomb Raider: Definitive Edition,Far Cry New Dawn,Sekiro: Shadows Die Twice,Planet Zoo,MORDHAU,A Plague Tale: Innocence
76561197960269200,Terraria,Slay the Spire,DRAGON BALL XENOVERSE 2,Risk of Rain,Halo: The Master Chief Collection,Remnant: From the Ashes,Skullgirls,DOOM Eternal,Sekiro: Shadows Die Twice,Devil May Cry 5
76561197960269600,Among Us,Counter-Strike: Global Offensive,Portal 2,Left 4 Dead 2,Bloons TD 6,Ravenfield,The Binding of Isaac: Rebirth,Fallout: New Vegas,Half-Life 2,Fall Guys: Ultimate Knockout
76561197960270400,Wolfenstein: The Old Blood,Shadow of the Tomb Raider: Definitive Edition,A Plague Tale: Innocence,Far Cry New Dawn,Resident Evil 2,STAR WARS Jedi: Fallen Order,Life is Strange: Before the Storm,Assassin's Creed Odyssey,Binary Domain,Devil May Cry 5
76561197960270500,Terraria,Halo: The Master Chief Collection,Fall Guys: Ultimate Knockout,Garry's Mod,Among Us,Hunt: Showdown,Slay the Spire,Destiny 2,DOOM Eternal,Borderlands 2
76561197960270600,DOOM Eternal,Resident Evil 2,Assassin's Creed Odyssey,STAR WARS Jedi: Fallen Order,Wolfenstein: The Old Blood,CODE VEIN,A Plague Tale: Innocence,FINAL FANTASY XV WINDOWS EDITION,Shadow of the Tomb Raider: Definitive Edition,DEATH STRANDING
76561197960271000,SPORE,Portal 2,Terraria,Jurassic World Evolution,Sid Meier's Civilization V,Bloons TD 6,Garry's Mod,Among Us,Left 4 Dead 2,
76561197960271200,Among Us,Terraria,Slay the Spire,Halo: The Master Chief Collection,Counter-Strike: Global Offensive,Risk of Rain,Beat Saber,DOOM Eternal,Remnant: From the Ashes,MORDHAU
,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9
76561197960267900,0.030982402,0.022506748,0.019023992,0.018436089,0.018104096,0.016352174,0.016253949,0.015974919,0.015851633,0.015732244
76561197960268700,0.076829938,0.067248164,0.064065725,0.062007045,0.053154614,0.052918039,0.048501751,0.047493875,0.046875432,0.046415564
76561197960269100,0.081284368,0.052796554,0.052103928,0.04621361,0.044840113,0.038947891,0.037996144,0.037104497,0.035047731,0.033774241
76561197960269200,0.047962494,0.045823822,0.045515836,0.043748795,0.039652482,0.037696957,0.034395872,0.033525448,0.032844383,0.031397817
76561197960269600,0.078445418,0.078318379,0.070763115,0.070282814,0.070128542,0.059886432,0.057820875,0.055349177,0.055053071,0.054524288
76561197960270400,0.06360074,0.033614704,0.032658352,0.024247247,0.023150565,0.02288392,0.022870571,0.022026587,0.021137721,0.020188997
76561197960270500,0.062053829,0.059783388,0.054883992,0.054798274,0.051808059,0.050244508,0.047825741,0.046964063,0.046549076,0.044957325
76561197960270600,0.047735651,0.045779645,0.042999605,0.041628782,0.040228598,0.039626195,0.038817873,0.037873126,0.037537738,0.032971691
76561197960271000,0.023274327,0.022668787,0.022426926,0.021224856,0.021068487,0.019533402,0.019137527,0.017168282,0.016409543,
76561197960271200,0.0703329,0.05627329,0.053919597,0.048925572,0.045993241,0.045657131,0.045349922,0.043177296,0.042330251,0.040967875
